Atlapetes personatus_Setrnádek hnědohlavý
Atlapetes pileatus_Setrnádek čepičatý
Atlapetes rufigenis_Setrnádek rezavohlavý
Atlapetes rufinucha_Setrnádek rezavotýlý
Atlapetes schistaceus_Setrnádek šedočerný
Atlapetes seebohmi_Setrnádek ekvádorský
Atlapetes semirufus_Setrnádek hnědovousý
Atlapetes tibialis_Peipilo žlutostehenný
Atlapetes tricolor_Setrnádek tříbarvý
Atrichornis clamosus_Keřováček zvučný
Atrichornis rufescens_Keřováček rezavý
Attagis gayi_písečník rezavý
Atthis ellioti_Wine-throated Hummingbird
